字段名,数据类型,聚合策略,策略参数,源字段名,去重 / 聚合处理逻辑
doi,string,key_lower,,,唯一去重键，精确匹配，统一小写
identifiers,"map<string,string>",merge_identifiers,,,"MAP聚合，key去重，doi/DOI/mag/MAG小写后与origin_osi拼接，相同key取max(value)"
indexed_in,array<string>,dedup_array,,,数组聚合并去重
type,array<string>,dedup_array,lower=true,,统一小写后数组聚合去重
title,string,freq_lex_max,min_len=2;max_len=1000,,在非空值里取词频最高；剔除长度<2或>1000极值；词频相同取字典序最大值
abstract,string,freq_lex_max,min_len=10;max_len=10000,,在非空值里取词频最高；剔除长度<10或>10000极值；词频相同取字典序最大值
author,"array<struct<name:string,orcid:string>>",dedup_struct,,,数组聚合去重
language,string,freq_lex_max,,,在非空值里取词频最高；词频相同取字典序最大值
published_year,int,freq_int_max,min_val=1000;max_val=CURRENT_YEAR,,在非空值里取词频最高；剔除<1000或>当年极值；词频相同取最大值
published_date,string,freq_date,,,在非空值里取词频最高的出版日期；剔除年份异常值；词频相同取字典序最大值
venue_name,string,freq_lex_max,,,在非空值里取词频最高；词频相同取字典序最大值
venue_type,string,freq_lex_max,,,在非空值里取词频最高；词频相同取字典序最大值
venue_issn,array<string>,dedup_array,,,数组聚合去重
venue_publisher,array<string>,dedup_array,,,数组聚合去重
access_license,string,freq_lex_max,,,在非空值里取词频最高；词频相同取字典序最大值
biblio_volume,string,freq_lex_max,,,在非空值里取词频最高；词频相同取字典序最大值
biblio_issue,string,freq_lex_max,,,在非空值里取词频最高；词频相同取字典序最大值
biblio_pages,string,freq_lex_max,,,在非空值里取词频最高；词频相同取字典序最大值
access_is_oa,string,freq_lex_max,,,在非空值里取词频最高；词频相同取字典序最大值
access_oa_status,string,freq_lex_max,,,在非空值里取词频最高；词频相同取字典序最大值
access_oa_url,array<string>,dedup_array,,,数组聚合去重
locations,"array<struct<type:string,url:string,license:string,is_oa:string>>",dedup_locations,,,"STRUCT转成STRING再去重，key已排序"
keywords,array<string>,dedup_array,,,数组聚合去重
fieldsOfStudy,"array<map<string,string>>",dedup_map,,,MAP转成STRING再去重
s2fieldsofstudy,"array<map<string,string>>",dedup_map,,,MAP转成STRING再去重
primary_topic,"STRUCT<id:STRING,display_name:STRING,score:DECIMAL(10,4),subfield:STRUCT<id:STRING,display_name:STRING>,field:STRUCT<id:STRING,display_name:STRING>,domain:STRUCT<id:STRING,display_name:STRING>>",freq_struct,,,在非空值里取词频最高；词频相同取字典序最大值
topics,"ARRAY<STRUCT<id:STRING,display_name:STRING,score:DECIMAL(10,4),subfield:STRUCT<id:STRING,display_name:STRING>,field:STRUCT<id:STRING,display_name:STRING>,domain:STRUCT<id:STRING,display_name:STRING>>>",dedup_struct,,,STRUCT转成STRING再去重
concepts,"array<map<string,string>>",dedup_map,,,MAP转成STRING再去重
category,string,freq_lex_max,,,在非空值里取词频最高；词频相同取字典序最大值
reference_count,int,freq_int_max,,,在非空值里取词频最高；词频相同取最大值
citation_count,int,freq_int_max,,,在非空值里取词频最高；词频相同取最大值
influential_citation_count,int,freq_int_max,,,在非空值里取词频最高；词频相同取最大值
references,array<string>,dedup_array,,,数组聚合去重
related_works,array<string>,dedup_array,,,数组聚合去重
citation_normalized_percentile,"MAP<STRING,STRING>",merge_map,,,"MAP聚合，key去重，相同key取max(value)"
cited_by_percentile_year,"MAP<STRING,STRING>",merge_map,,,"MAP聚合，key去重，相同key取max(value)"
fwci,"decimal(15,4)",freq_decimal_max,,,在非空值里取词频最高；词频相同取最大值
cited_by_api_url,string,freq_lex_max,,,在非空值里取词频最高；词频相同取字典序最大值
mesh,"ARRAY<MAP<STRING,STRING>>",dedup_map,,,MAP转成STRING再去重
classifications,"STRUCT<mesh:ARRAY<MAP<STRING,STRING>>,msc_class:STRING,acm_class:STRING,arxiv_category:ARRAY<STRING>>",random_pick_cls,,,"mesh随机取一条不为空的值；msc_class/acm_class/arxiv_category从arxiv记录取"
dt,string,latest_dt,,,保留最新分区日期
