统一字段名,字段值数据类型,源字段映射(论文),源字段映射(图书),源字段映射(星河),字段有效性规则,备注,字段来源
unique_id,String,'paper:{doi}','ebook:{isbn13}',,,全量表唯一标识，用于跨 Metadata 与 Fulltext 数据关联、去重与检索。,全量表生成字段
metadata_type,String,,,,"可选值：""paper"",""ebook""",【Metadata表】元数据来源类型。论文来源取值 paper，图书来源取值 ebook。数据类型：String。,Metadata表
doi,String,doi,,doi,"格式参考10.1016/s0021-9258(19)52451-6，需均保持小写，无前缀“https://doi.org/”部分
规范：星河图书馆qa测试代码","【Metadata表】数字对象唯一标识符（DOI），主要用于论文等学术资源定位。数据类型：String。来源映射：OSI论文字段=doi。
【Fulltext表】全文解析得到的 DOI。数据类型：string。","Metadata表, Fulltext表"
isbns,List[string],,isbns,,"符合 ISBN 校验规则。13 位与 10 位两种格式。格式参考[
        ""9781426208072"",
        ""1426208073""
      ]    
规范：星河图书馆qa测试代码",【Metadata表】图书 ISBN 列表，可能包含多个 ISBN。数据类型：List[string]。来源映射：OSI图书字段=isbns。,Metadata表
isbn13,String,,isbn13,,"格式参考""9781426208072""
规范：星河图书馆qa测试代码",【Metadata表】13 位 ISBN，图书资源的标准编号。数据类型：String。来源映射：OSI图书字段=isbn13。,Metadata表
title,String,title,title,title,"不包含不可见字符
规范：星河图书馆qa测试代码","【Metadata表】资源标题/题名。数据类型：String。来源映射：OSI图书字段=title；OSI论文字段=title。
【Fulltext表】全文解析得到的标题。数据类型：string。","Metadata表, Fulltext表"
abstract,String,abstract,abstract,abstract,"不包含不可见字符
规范：星河图书馆qa测试代码","【Metadata表】摘要、简介或内容概述。数据类型：String。来源映射：OSI图书字段=abstract；OSI论文字段=abstract。
【Fulltext表】全文解析得到的摘要。数据类型：string。","Metadata表, Fulltext表"
language,String,language,language,language,"有效性规则见元数据目录格式标准【WIP】
ISO 639-1语言代码标识，其无法覆盖范围则应用iso ISO 639-3代码。规范：星河图书馆qa测试代码","【Metadata表】资源语言。数据类型：String。来源映射：OSI图书字段=language；OSI论文字段=language。
【Fulltext表】全文解析得到的语言。数据类型：string。","Metadata表, Fulltext表"
type,String,type,type,,,【Metadata表】资源类型或文献类型。数据类型：String。来源映射：OSI图书字段=type；OSI论文字段=type。,Metadata表
author,List[object],author,author,author,"2026.06.01 author字段格式修改为List[object]。每个对象都有两个key-value对，key分别为：""name""、""orcid""，其中name存储作者姓名，orcid存储作者的开放学者身份标识。举例：[
    {
      ""name"": ""Alan Aspuru-Guzik"",
      ""orcid"": ""https://orcid.org/0000-0002-8277-4434""
    }]。
每个string指向一个作者，不能多个人名放在同个string下
每个string不包含分割性质字符，规范：星河图书馆qa测试代码","【Metadata表】作者列表。数据类型：List[object]。来源映射：OSI图书字段=author；OSI论文字段=author。
【Fulltext表】全文解析得到的作者列表。数据类型：List[object]。","Metadata表, Fulltext表"
contributors,List[string],,contributors,,"每个string指向一个作者，不能多个人名放在同个string下
每个string不包含分割性质字符，规范：星河图书馆qa测试代码",【Metadata表】贡献者列表，如编者、译者等。数据类型：List[string]。来源映射：OSI图书字段=contributors。,Metadata表
indexed_in,List[string],indexed_in,indexed_in,,,【Metadata表】收录/索引来源列表。数据类型：List[string]。来源映射：OSI图书字段=indexed_in；OSI论文字段=indexed_in。非对外字段。,Metadata表
